name,count,ring,quadrant,isNew,description
TypeScript,10,Adopt,languages-and-frameworks,FALSE,"TypeScriptは、JavaScriptに静的型付けを導入することで、開発時のバグ検出を容易にしつつ、生産性と保守性の向上を図るプログラミング言語です。設計時の型検証により大規模開発に適しており、エディタ内での補完やリファクタリングが強化されます。

プロジェクトでの利用状況
Webアプリケーションのフロントエンドおよびバックエンドの両面で採用され、堅牢なコードベースの構築を実現しています。さらに、AWS CDKやLambdaとの連携、サーバーとクライアント両方での実装など、さまざまな現場での利用実績があり、複雑なシステムやクラウド環境とも相性が良い言語として評価されています。"
Miro,9,Adopt,Tools,FALSE,"Miroはオンラインホワイトボードツールで、チームが遠隔地からも迅速にアイディアを出し合い、議論や検討を行える環境を提供します。直感的なUIと豊富なテンプレートにより、ブレインストーミング、プロジェクト計画、デザイン思考、画面イメージ作成、タスク管理など多岐に渡る用途に対応し、視覚的な情報共有が可能です。

プロジェクトでの利用状況
AWS構成図作成、ふりかえり、ワークショップ、Scrumイベント、フェス、仕様まとめなど、様々なコミュニケーション手段として活用されています。"
Node.js,8,Adopt,languages-and-frameworks,FALSE,"Node.jsはサーバーサイド向けJavaScript実行環境で、非同期I/Oにより高いパフォーマンスを実現し、npmの豊富なモジュール群を活用して迅速な開発を支援します。軽量かつシングルスレッドで処理を行うため、リアルタイム通信やマイクロサービス、RESTful APIの構築に最適です。

プロジェクトでの利用状況
AWS Lambda上でバックエンドのランタイムとして利用、開発環境や実行環境として採用、フロントエンドツールとの連携やパッケージ管理、サーバーサイド処理の実装など、幅広いシーンで活用されています。"
Visual Studio Code,8,Adopt,Tools,FALSE,"Visual Studio CodeはMicrosoftが提供するオープンソースのコードエディタで、複数のプラットフォームに対応し、多彩な言語やフレームワークへのサポートが充実しています。直感的なUIと豊富な拡張機能により、コーディングやデバッグ、バージョン管理などを一本化して行うことが可能です。

プロジェクトでの利用状況
複数の開発チームが共通のコード編集環境として採用しており、Dev Containerを活用した統一環境の構築、言語ごとの専用拡張機能の導入などを実施。フロントエンド、バックエンド、モバイルアプリケーションなど、幅広い分野で効率的な開発支援ツールとして利用されています。"
Jira,8,Adopt,Tools,FALSE,"Jiraはアジャイル開発に適した課題管理ツールで、タスクやバグ、機能要求などの細かな作業の進捗を可視化・共有できる仕組みを提供します。ワークフローのカスタマイズ性とダッシュボードで状況を一目で把握できるため、プロジェクト毎の要件定義からテスト、リリースまでの全工程を統合的に管理できます。

プロジェクトでの利用状況
PBIやスプリント中のバックログ、チケット管理およびリリースに向けた進捗確認などに利用され、次リリースまでの未実装部分の洗い出しや実装完了基準の判断に役立っています。"
Confluence,8,Adopt,Tools,FALSE,"Confluenceは企業向けの統合ドキュメント管理・情報共有ツールで、プロジェクトの知識やナレッジを体系的に整理・共有するために活用されます。チーム全体での情報の蓄積・更新が容易となり、最新の状態でのドキュメント管理が実現できます。

プロジェクトでの利用状況
各プロジェクトで設計書、議事録、個人メモなどの各種ドキュメントを一元管理するほか、Wikiとして業務情報やナレッジ、カレンダー機能でチームメンバーのスケジュールを共有し、デイリースクラムの際に最新情報を確認するためのツールとして導入されています。"
Figma,7,Adopt,Tools,FALSE,"FigmaはクラウドベースのUI/UXデザインツールで、直感的なインターフェースとリアルタイム共同編集機能が特徴です。アイコンやインターフェースのプロトタイピング、モックアップ作成に優れ、効率的なデザインレビューとバージョン管理が可能です。

プロジェクトでの利用状況
FigmaはWebアプリケーションのUIデザイン、画面設計、デザイン共有で活用され、コンポーネントのCSS抽出とTailwindへの変換、デザイン定義の管理やデザイナー間のコミュニケーション促進に寄与しています。"
Microsoft Teams,7,Assess,Tools,FALSE,"Microsoft Teamsはチャット、ビデオ会議、ファイル共有、タスク管理などの機能を備えた統合コミュニケーションプラットフォームで、遠隔勤務や多拠点のコラボレーションを円滑に進め、業務効率の向上をサポートします。

プロジェクトでの利用状況
ある現場では、テキストコミュニケーションの主軸として利用され、アプリケーションのエラー発生時はAmazon CloudWatchからのアラームが専用チャネルで通知される仕組みを導入しています。また、顧客との連絡手段やMTGの予定管理、ファイル共有により、Slackの代替として幅広い用途で採用されています。"
vitest,7,Adopt,languages-and-frameworks,FALSE,"vitestはViteと連携した高速なテスト実行を実現するユニットテストフレームワークです。シンプルな構文と迅速な起動、モダンな環境との親和性が魅力で、Jest互換の機能も備えています。

プロジェクトでの利用状況: フロントエンド、バックエンド双方の単体テスト環境として採用され、Reactを用いたUIテストではTesting Libraryと連携して利用されています。また、従来のJest環境からの移行や、バックエンドのテスト用としても実績があり、各現場で広く活用されています。"
Slack,7,Adopt,Tools,FALSE,"Slackはリアルタイムのチャット・コミュニケーションツールで、テキストチャット、ファイル共有、ビデオ通話など多機能な連絡手段を提供し、チーム内外の協働を支援します。

プロジェクトでの利用状況
顧客とのコミュニケーションやチーム内の議論、ファイル共有、各種ツール（Jira、GitHub、GitLab等）との連携によるCI結果や通知の受取、社内情報の迅速な共有を実現しており、柔軟なコミュニケーション環境の整備に寄与しています。"
